time[sec],pulse_O,pulse_1
0,16572,26628
0.05221558,54028,36982
0.1090393,77510,42584
0.1609497,86152,49588
0.2149048,94832,59450
0.2715149,95612,64356
0.3318481,97790,67198
0.3821716,98026,67812
0.4417725,97192,68608
0.4993896,97308,67522
0.5579224,95386,65834
0.608429,92428,64422
0.6589661,91978,63012
0.7129517,92218,63038
0.7683411,91494,60870
0.8276978,91552,59932
0.8832397,90636,57706
0.9434204,90538,57778
1.003387,90768,58008
1.062195,90614,60314
1.113953,91380,59048
1.168121,91448,61270
1.222809,91194,61042
1.276886,91162,61608
1.32959,91018,60690
1.384247,90606,59750
1.445526,90256,60824
1.501312,90252,60168
1.552399,89942,59704
1.604767,89560,58088
1.660065,89338,57478
1.711487,89382,59232
1.766479,89310,58686
1.819519,89154,59364
1.871948,89130,60258
1.927887,88830,60938
1.982178,88952,62676
2.033356,88970,63300
2.08548,89110,63494
2.139404,89188,63594
2.195984,89402,64452
2.252686,89386,64706
2.310516,89036,65418
2.3685,88726,66602
2.421661,88086,65984
2.472382,88464,64942
2.526489,88346,64676
2.57901,88308,64026
2.634979,88366,61186
2.692413,88340,61254
2.75296,87906,58420
2.809509,87584,58002
2.866028,87008,57622
2.916046,86712,58256
2.966553,86522,58068
3.019165,85786,56598
3.077667,83576,55822
3.129761,82306,54770
3.190948,81552,54384
3.248505,76568,46464
3.305481,50772,28128
3.35907,3226,0
3.412262,0,48
Completed,Completed,Completed
